Entity,Code,Number of trees,,Land area (sq. km)
Poland,POL,6437707776,,143350
Portugal,PRT,3126839552,,33690
Puerto Rico,PRI,215847936,,18280
Qatar,QAT,12644,,263310
Reunion,REU,117386000,,120340
Romania,ROU,4836278272,,1266700
Russia,RUS,6.42E+11,,910770
Rwanda,RWA,348708384,,18240980
Saint Barthlemy,,105854.3672,,120410
Saint Helena,SHN,6161198,,460
Saint Kitts and Nevis,KNA,7343199.5,,365245
Saint Lucia,LCA,21270334,,34403474
Saint Pierre and Miquelon,SPM,6063650,,309500
Saint Vincent and the Grenadines,VCT,12621922,,2030709
Samoa,WSM,40661400,,64200
San Marino,SMR,475865.75,,770880
Sao Tome and Principe,STP,59314388,,460
Saudi Arabia,SAU,2713285.5,,6020
Senegal,SEN,1306909952,,74340
Serbia,SRB,1657069056,,452860
Seychelles,SYC,2028620.625,,397300
Sierra Leone,SLE,2272701952,,1280000
Singapore,SGP,2453930,,298170
Sint Maarten (Dutch part),SXM,151533.6719,,306190
Slovakia,SVK,1493392256,,91605
Slovenia,SVN,1420915456,,31464305.3
Solomon Islands,SLB,1260014976,,20165531
Somalia,SOM,879845440,,8870
South Africa,ZAF,17791358976,,11610
South Korea,KOR,3826071296,,230080
South Sudan,SSD,27408459776,,16376870
Spain,ESP,11391461376,,24670
Sri Lanka,LKA,2437015296,,260
Sudan,SDN,3053661440,,610
Suriname,SUR,8310388736,,54.4
Swaziland,SWZ,910721280,,390
Sweden,SWE,31008122880,,2830
Switzerland,CHE,1107665792,,60
Syria,SYR,100087952,,960
Taiwan,TWN,2291593216,,2149690
Tajikistan,TJK,148119840,,192530
Tanzania,TZA,20814235648,,87460
Thailand,THA,8345450496,,460
Timor,TLS,512039872,,72180
Togo,TGO,1023098432,,709
Tokelau,TKL,18404.4,,34
Tonga,TON,5572860,,48086
Trinidad and Tobago,TTO,207744976,,20140
Tunisia,TUN,151323136,,2499759
Turkey,TUR,8698405888,,27990
Turkmenistan,TKM,7218816,,627340
Turks and Caicos Islands,TCA,3895086,,1213090
Tuvalu,TUV,38189.2,,4771577
Uganda,UGA,2464824576,,4771577
Ukraine,UKR,7023662592,,97480
United Arab Emirates,ARE,19529.21875,,500210
United Kingdom,GBR,3004205568,,62710
United States,USA,2.28E+11,,23618361
United States Virgin Islands,VIR,4659548,,23618361
Uruguay,URY,543400768,,23617901
Uzbekistan,UZB,114452776,,2376000
Vanuatu,VUT,572365824,,156000
Venezuela,VEN,36278259712,,17200
Vietnam,VNM,9353365504,,407310
Wallis and Futuna,WLF,1646280,,39516
Western Sahara,ESH,18573.01172,,183630
World,OWID_WRL,3.04E+12,,138786
World (mean),,3.04E+12,,885800
World (median),,536104112,,510890
Yemen,YEM,15551580,,14870
Zambia,ZMB,27612139520,,54390
Zimbabwe,ZWE,5652261376,,720
,,,,5130
,,,,155360
,,,,769630
,,,,469930
,,,,950
,,,,30
,,,,200520
,,,,579290
,,,,83600
,,,,241930
,,,,9147420
,,,,350
,,,,55536404
,,,,175020
,,,,425400
,,,,12190
,,,,882050
,,,,310070
,,,,129732899.7
,,,,527970
,,,,743390
,,,,386850
