country,trees_no,land_area_km,continent,Population
Panama,2888506880,74340,Americas,3901000
Papua New Guinea,22899769344,452860,Oceania,7947000
Paraguay,19003179008,397300,Americas,6600000
Peru,46197633024,1280000,Americas,30090000
Philippines,6312320000,298170,Asia,100513000
Poland,6437707776,306190,Europe,38091000
Portugal,3126839552,91605,Europe,10418000
Puerto Rico,215847936,8870,Americas,3454000
Qatar,12644,11610,Asia,2459000
Romania,4836278272,230080,Europe,20036000
Russia,6.42E+11,16376870,Europe,144665000
Rwanda,348708384,24670,Africa,11084000
Saint Kitts and Nevis,7343199.5,260,Americas,51000
Saint Lucia,21270334,610,Americas,178000
Saint Vincent and the Grenadines,12621922,390,Americas,109000
Samoa,40661400,2830,Oceania,192000
San Marino,475865.75,60,Europe,33000
Sao Tome and Principe,59314388,960,Africa,196000
Saudi Arabia,2713285.5,2149690,Asia,30917000
Senegal,1306909952,192530,Africa,14175000
Serbia,1657069056,87460,Europe,8898000
Seychelles,2028620.625,460,Africa,94000
Sierra Leone,2272701952,72180,Africa,7017000
Singapore,2453930,709,Asia,5526000
Sint Maarten,151533.6719,34,Americas,39000
Slovakia,1493392256,48086,Europe,5429000
Slovenia,1420915456,20140,Europe,2067000
Solomon Islands,1260014976,27990,Oceania,587000
Somalia,879845440,627340,Africa,13424000
South Africa,17791358976,1213090,Africa,54544000
South Korea,3826071296,97480,Asia,50608000
Spain,11391461376,500210,Europe,46778000
Sri Lanka,2437015296,62710,Asia,20789000
Sudan,3053661440,2376000,Africa,37978000
Suriname,8310388736,156000,Americas,553000
Swaziland,910721280,17200,Africa,1095000
Sweden,31008122880,407310,Europe,9692000
Switzerland,1107665792,39516,Europe,8206000
Syria,100087952,183630,Asia,18711000
Tajikistan,148119840,138786,Asia,8253000
Tanzania,20814235648,885800,Africa,49961000
Thailand,8345450496,510890,Asia,68439000
Timor,512039872,14870,Asia,1174000
Togo,1023098432,54390,Africa,7138000
Tonga,5572860,720,Oceania,101000
Trinidad and Tobago,207744976,5130,Americas,1362000
Tunisia,151323136,155360,Africa,11063000
Turkey,8698405888,769630,Asia,77229000
Turkmenistan,7218816,469930,Asia,5466000
Turks and Caicos Islands,3895086,950,Americas,35000
Tuvalu,38189.2,30,Oceania,11000
Uganda,2464824576,200520,Africa,36912000
Ukraine,7023662592,579290,Europe,45112000
United Arab Emirates,19529.21875,83600,Asia,9214000
United Kingdom,3004205568,241930,Europe,65423000
United States,2.28E+11,9147420,Americas,318673000
United States Virgin Islands,4659548,350,Americas,105000
Uruguay,543400768,175020,Americas,3400000
Uzbekistan,114452776,425400,Asia,30426000
Vanuatu,572365824,12190,Oceania,264000
Venezuela,36278259712,882050,Americas,30043000
Vietnam,9353365504,310070,Asia,91714000
Yemen,15551580,527970,Asia,25823000
Zambia,27612139520,743390,Africa,15400000
Zimbabwe,5652261376,386850,Africa,13587000
